density: 1.02 g/cm^3
MeV cm^2/g
Photon    Tot. wo/ 
Energy    Coherent 

1.000E-03 3.262E+03 
1.035E-03 2.970E+03 
1.072E-03 2.710E+03 
1.500E-03 1.087E+03 
2.000E-03 4.832E+02 
2.145E-03 3.973E+02 
2.303E-03 3.241E+02 
2.472E-03 2.678E+02 
2.641E-03 2.210E+02 
2.822E-03 1.837E+02 
3.000E-03 1.538E+02 
4.000E-03 6.565E+01 
5.000E-03 3.360E+01 
6.000E-03 1.934E+01 
8.000E-03 8.053E+00 
1.000E-02 4.095E+00 
1.500E-02 1.261E+00 
2.000E-02 6.110E-01 
3.000E-02 2.992E-01 
4.000E-02 2.279E-01 
