density: 1.19 g/cm^3
MeV cm^2/g
Photon    Tot. wo/ 
Energy    Coherent 

1.000E-03 2.792E+03 
1.500E-03 9.143E+02 
2.000E-03 4.028E+02 
3.000E-03 1.229E+02 
4.000E-03 5.194E+01 
5.000E-03 2.639E+01 
6.000E-03 1.511E+01 
8.000E-03 6.255E+00 
1.000E-02 3.176E+00 
1.500E-02 9.943E-01 
2.000E-02 5.004E-01 
3.000E-02 2.660E-01 
4.000E-02 2.123E-01
5.000E-02 1.922E-01 
6.000E-02 1.815E-01 
8.000E-02 1.687E-01 
1.000E-01 1.599E-01 
